"no_of_adults","no_of_children","no_of_weekend_nights","no_of_week_nights","type_of_meal_plan","required_car_parking_space","room_type_reserved","lead_time","arrival_year","arrival_month","market_segment_type","repeated_guest","no_of_previous_cancellations","no_of_special_requests","booking_status","avg_price_per_room"
1,0,0,1,"Meal Plan 1",0,"Room_Type 2",16,2018,3,"Online",0,0,1,"Not_Canceled",103
3,0,1,4,"Meal Plan 1",0,"Room_Type 4",71,2018,6,"Offline",0,0,0,"Canceled",115.6
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",97,2018,5,"Offline",0,0,0,"Not_Canceled",80.75
1,0,1,0,"Meal Plan 1",0,"Room_Type 1",263,2017,9,"Offline",0,0,0,"Not_Canceled",59.5
2,0,0,5,"Meal Plan 1",0,"Room_Type 1",36,2018,11,"Online",0,0,1,"Not_Canceled",64.67
1,0,0,3,"Meal Plan 1",0,"Room_Type 2",206,2018,9,"Online",0,0,1,"Canceled",126.9
2,9,2,5,"Meal Plan 1",0,"Room_Type 2",8,2017,8,"Online",0,0,1,"Canceled",76.5
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2018,9,"Corporate",0,0,0,"Not_Canceled",160
2,2,1,1,"Meal Plan 1",0,"Room_Type 6",217,2018,8,"Online",0,0,1,"Canceled",168.3
1,0,4,5,"Meal Plan 1",0,"Room_Type 1",2,2018,11,"Online",0,0,1,"Canceled",76.12
1,0,1,0,"Meal Plan 1",0,"Room_Type 1",77,2018,10,"Online",0,0,2,"Not_Canceled",85.5
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",28,2018,5,"Online",0,0,1,"Not_Canceled",135
2,0,0,4,"Meal Plan 2",0,"Room_Type 1",296,2018,9,"Offline",0,0,1,"Canceled",117
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",20,2018,2,"Online",0,0,2,"Not_Canceled",93
2,0,0,4,"Meal Plan 1",0,"Room_Type 6",2,2018,10,"Online",0,0,1,"Not_Canceled",175.56
1,0,2,2,"Meal Plan 1",0,"Room_Type 1",62,2018,9,"Online",0,0,1,"Canceled",98.55
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",94,2017,12,"Online",0,0,1,"Canceled",72.25
3,0,2,1,"Meal Plan 1",0,"Room_Type 4",6,2018,3,"Online",0,0,1,"Not_Canceled",177
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",183,2018,5,"Online",0,0,1,"Canceled",100.3
2,0,3,5,"Meal Plan 1",0,"Room_Type 1",213,2018,9,"Online",0,0,0,"Canceled",119.85
1,0,1,0,"Not Selected",0,"Room_Type 1",15,2018,9,"Online",0,0,0,"Canceled",89
2,0,1,3,"Meal Plan 1",0,"Room_Type 4",42,2018,3,"Online",0,0,1,"Not_Canceled",131.48
3,0,2,5,"Meal Plan 1",0,"Room_Type 4",77,2018,8,"Online",0,0,2,"Not_Canceled",150.3
1,0,1,0,"Meal Plan 1",0,"Room_Type 1",164,2018,10,"Offline",0,0,0,"Canceled",115
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",79,2018,3,"Online",0,0,1,"Canceled",90.95
2,0,0,3,"Meal Plan 1",1,"Room_Type 1",87,2017,9,"Online",0,0,1,"Not_Canceled",98.25
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",19,2018,3,"Online",0,0,0,"Canceled",147
1,0,0,1,"Not Selected",0,"Room_Type 1",36,2018,10,"Online",0,0,2,"Not_Canceled",102.6
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",1,2017,9,"Online",0,0,0,"Not_Canceled",111.65
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,2017,11,"Online",0,0,0,"Canceled",97
3,0,2,2,"Meal Plan 1",0,"Room_Type 4",92,2018,5,"Online",0,0,2,"Not_Canceled",150.45
3,0,1,2,"Meal Plan 1",0,"Room_Type 4",80,2018,11,"Online",0,0,2,"Not_Canceled",126
1,0,1,1,"Meal Plan 1",0,"Room_Type 1",44,2018,11,"Online",0,0,0,"Canceled",91.2
3,0,0,4,"Meal Plan 1",0,"Room_Type 4",55,2017,10,"Offline",0,0,1,"Not_Canceled",112.5
2,0,1,2,"Meal Plan 1",0,"Room_Type 4",57,2018,3,"Online",0,0,1,"Not_Canceled",118.5
2,1,2,2,"Meal Plan 1",0,"Room_Type 1",30,2018,12,"Online",0,0,0,"Canceled",84.32
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",256,2017,9,"Offline",0,0,0,"Not_Canceled",64.33
2,1,0,1,"Meal Plan 1",0,"Room_Type 1",1,2018,3,"Online",0,0,2,"Not_Canceled",159
3,0,0,2,"Meal Plan 1",0,"Room_Type 4",29,2018,10,"Online",0,0,3,"Not_Canceled",201.25
2,0,0,2,"Not Selected",0,"Room_Type 1",51,2018,10,"Online",0,0,1,"Canceled",108
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",144,2017,12,"Online",0,0,2,"Not_Canceled",72.25
1,0,0,3,"Meal Plan 1",0,"Room_Type 1",37,2018,10,"Offline",0,0,0,"Not_Canceled",95
2,0,0,3,"Not Selected",0,"Room_Type 1",5,2018,11,"Online",0,0,0,"Canceled",90.33
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",23,2018,11,"Online",0,0,2,"Not_Canceled",112
2,0,2,2,"Meal Plan 1",0,"Room_Type 4",107,2018,11,"Online",0,0,0,"Not_Canceled",117.28
2,0,0,1,"Not Selected",0,"Room_Type 1",5,2017,9,"Online",0,0,1,"Not_Canceled",115
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",3,2018,6,"Offline",0,0,0,"Not_Canceled",90.67
2,0,0,2,"Not Selected",0,"Room_Type 1",119,2018,5,"Online",0,0,0,"Canceled",94.5
2,0,0,2,"Meal Plan 1",0,"Room_Type 4",23,2018,10,"Online",0,0,2,"Not_Canceled",145
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",3,2017,8,"Online",0,0,2,"Not_Canceled",122
1,0,0,3,"Meal Plan 1",0,"Room_Type 1",204,2018,5,"Offline",0,0,0,"Canceled",90
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",15,2018,11,"Online",0,0,2,"Not_Canceled",99.67
2,0,0,5,"Meal Plan 1",0,"Room_Type 1",22,2018,5,"Online",0,0,0,"Not_Canceled",142.2
2,0,2,1,"Not Selected",0,"Room_Type 1",31,2018,3,"Online",0,0,0,"Not_Canceled",76.1
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",31,2018,8,"Online",0,0,2,"Not_Canceled",135.9
3,0,0,3,"Meal Plan 1",1,"Room_Type 4",135,2018,8,"Online",0,0,1,"Not_Canceled",155.7
3,0,0,2,"Meal Plan 1",0,"Room_Type 1",30,2018,3,"Online",0,0,0,"Not_Canceled",88.9
2,0,2,2,"Not Selected",0,"Room_Type 1",22,2018,8,"Online",0,0,2,"Not_Canceled",112.25
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",127,2018,6,"Online",0,0,1,"Not_Canceled",96.3
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",98,2018,10,"Online",0,0,1,"Not_Canceled",90.6
2,0,0,2,"Not Selected",0,"Room_Type 1",23,2018,11,"Online",0,0,2,"Not_Canceled",88
1,0,2,1,"Meal Plan 1",0,"Room_Type 1",282,2017,10,"Online",0,0,0,"Not_Canceled",0
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",164,2018,7,"Online",0,0,1,"Not_Canceled",90.9
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",100,2018,5,"Online",0,0,1,"Not_Canceled",136
2,0,2,2,"Meal Plan 1",0,"Room_Type 4",16,2018,5,"Online",0,0,2,"Not_Canceled",111.35
2,0,0,4,"Meal Plan 1",1,"Room_Type 1",22,2018,11,"Online",0,0,2,"Not_Canceled",111
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",304,2018,11,"Offline",0,0,0,"Canceled",89
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",2,2018,1,"Complementary",0,0,0,"Not_Canceled",0
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",280,2018,9,"Offline",0,0,0,"Canceled",110
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",15,2018,4,"Online",0,0,1,"Not_Canceled",118.33
1,0,1,3,"Meal Plan 1",0,"Room_Type 1",79,2018,4,"Online",0,0,0,"Canceled",80.75
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",292,2018,7,"Offline",0,0,0,"Canceled",115
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",5,2018,12,"Online",0,0,0,"Not_Canceled",96
2,0,0,2,"Not Selected",0,"Room_Type 1",35,2018,8,"Online",0,0,0,"Canceled",125.1
1,0,2,2,"Meal Plan 1",0,"Room_Type 4",76,2018,11,"Online",0,0,0,"Canceled",145.8
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",143,2018,10,"Online",0,0,2,"Not_Canceled",118.8
2,0,2,4,"Meal Plan 1",0,"Room_Type 1",56,2018,3,"Online",0,0,0,"Canceled",93.5
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",0,2017,8,"Offline",0,0,0,"Not_Canceled",109
3,0,0,5,"Meal Plan 1",0,"Room_Type 4",42,2018,8,"Online",0,0,0,"Not_Canceled",168.3
1,0,1,1,"Meal Plan 1",0,"Room_Type 1",21,2018,10,"Corporate",1,0,0,"Not_Canceled",95
2,0,2,5,"Meal Plan 1",0,"Room_Type 4",54,2018,4,"Online",0,0,0,"Not_Canceled",114.63
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,2018,2,"Offline",0,0,0,"Not_Canceled",75
2,0,0,1,"Not Selected",0,"Room_Type 1",3,2018,4,"Online",0,0,2,"Not_Canceled",89
2,0,0,3,"Meal Plan 2",0,"Room_Type 1",9,2018,2,"Offline",0,0,0,"Not_Canceled",117
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",279,2018,10,"Offline",0,0,0,"Canceled",110
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",58,2018,3,"Offline",0,0,0,"Not_Canceled",63
2,0,0,5,"Not Selected",0,"Room_Type 1",128,2018,8,"Online",0,0,1,"Not_Canceled",103.5
1,0,2,4,"Meal Plan 1",0,"Room_Type 1",69,2018,6,"Offline",0,0,0,"Canceled",120
2,0,0,1,"Meal Plan 1",1,"Room_Type 7",4,2017,11,"Complementary",0,0,2,"Not_Canceled",0
1,0,1,0,"Meal Plan 1",0,"Room_Type 1",0,2018,5,"Offline",0,0,1,"Not_Canceled",115
2,0,1,2,"Meal Plan 2",0,"Room_Type 1",105,2017,10,"Offline",0,0,0,"Canceled",110
3,0,0,4,"Meal Plan 1",0,"Room_Type 4",73,2018,7,"Online",0,0,0,"Canceled",149.4
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,2018,5,"Offline",0,0,0,"Not_Canceled",140
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",276,2018,5,"Offline",0,0,0,"Canceled",61
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",104,2018,4,"Online",0,0,2,"Not_Canceled",96.3
2,0,0,1,"Not Selected",0,"Room_Type 1",37,2018,5,"Online",0,0,0,"Canceled",116.1
2,1,1,0,"Meal Plan 2",0,"Room_Type 1",87,2018,8,"Online",0,0,0,"Canceled",176.85
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",56,2017,9,"Offline",0,0,0,"Not_Canceled",82
2,1,0,3,"Meal Plan 1",0,"Room_Type 1",26,2017,10,"Online",0,0,1,"Not_Canceled",125.83
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",9,2017,12,"Corporate",0,0,0,"Not_Canceled",65
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",219,2017,9,"Offline",0,0,0,"Not_Canceled",76.67
1,0,0,1,"Not Selected",0,"Room_Type 1",1,2017,10,"Online",0,0,1,"Not_Canceled",114
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",34,2018,9,"Online",0,0,1,"Not_Canceled",135.9
1,0,1,1,"Meal Plan 1",0,"Room_Type 1",4,2018,4,"Corporate",1,1,1,"Not_Canceled",67
2,1,0,2,"Not Selected",0,"Room_Type 1",1,2018,11,"Online",0,0,1,"Not_Canceled",70.4
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",204,2017,10,"Offline",0,0,0,"Not_Canceled",72.75
3,0,1,5,"Meal Plan 2",0,"Room_Type 4",179,2018,8,"Online",0,0,0,"Canceled",179.92
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",28,2018,9,"Online",0,0,1,"Canceled",103.46
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",26,2018,9,"Online",0,0,2,"Not_Canceled",152.33
2,0,2,2,"Meal Plan 1",0,"Room_Type 4",126,2018,5,"Online",0,0,1,"Not_Canceled",83.12
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",205,2018,5,"Offline",0,0,0,"Canceled",90
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",346,2018,9,"Offline",0,0,1,"Canceled",115
3,0,4,5,"Meal Plan 1",0,"Room_Type 1",167,2018,8,"Offline",0,0,2,"Not_Canceled",96.9
2,0,0,3,"Meal Plan 1",0,"Room_Type 4",338,2018,12,"Online",0,0,0,"Canceled",87.3
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",80,2018,1,"Online",0,0,0,"Not_Canceled",87.32
2,0,0,3,"Meal Plan 1",0,"Room_Type 2",46,2017,11,"Online",0,0,1,"Not_Canceled",105.5
1,0,1,3,"Meal Plan 1",0,"Room_Type 4",27,2018,6,"Online",0,0,1,"Not_Canceled",104.72
3,0,1,3,"Meal Plan 1",0,"Room_Type 4",98,2018,12,"Online",0,0,0,"Not_Canceled",111.69
2,0,2,2,"Meal Plan 2",0,"Room_Type 1",175,2018,7,"Online",0,0,1,"Canceled",123.25
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",193,2018,6,"Offline",0,0,0,"Canceled",120
2,1,0,1,"Meal Plan 1",0,"Room_Type 1",0,2018,7,"Online",0,0,0,"Not_Canceled",159
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",74,2017,9,"Offline",0,0,0,"Not_Canceled",101.5
2,0,1,1,"Not Selected",0,"Room_Type 1",90,2017,7,"Online",0,0,0,"Not_Canceled",46.66
2,0,2,1,"Not Selected",0,"Room_Type 1",38,2018,4,"Online",0,0,1,"Not_Canceled",68.14
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",31,2018,5,"Online",0,0,1,"Not_Canceled",126.9
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",166,2018,7,"Online",0,0,2,"Not_Canceled",90.95
2,2,1,3,"Meal Plan 1",0,"Room_Type 6",81,2018,10,"Online",0,0,1,"Not_Canceled",190.8
1,0,2,4,"Not Selected",0,"Room_Type 1",37,2018,3,"Online",0,0,0,"Canceled",107.1
2,0,2,1,"Meal Plan 1",0,"Room_Type 4",18,2018,8,"Offline",0,0,0,"Not_Canceled",132.8
2,2,0,1,"Meal Plan 1",0,"Room_Type 6",4,2017,8,"Online",0,0,1,"Not_Canceled",153
2,0,1,2,"Meal Plan 2",0,"Room_Type 4",94,2018,5,"Online",0,0,0,"Canceled",174.6
1,0,0,3,"Meal Plan 1",0,"Room_Type 4",11,2018,6,"Corporate",0,0,0,"Not_Canceled",90
2,1,0,1,"Meal Plan 1",1,"Room_Type 4",0,2018,6,"Online",0,0,2,"Not_Canceled",148
1,0,0,3,"Meal Plan 1",0,"Room_Type 4",28,2018,6,"Online",0,0,1,"Not_Canceled",108.42
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",19,2018,10,"Corporate",1,1,0,"Not_Canceled",95
2,2,1,3,"Meal Plan 1",0,"Room_Type 6",85,2018,9,"Online",0,0,0,"Canceled",220.73
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",132,2018,8,"Online",0,0,0,"Canceled",96.3
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",59,2018,12,"Offline",0,0,0,"Not_Canceled",72
2,0,1,4,"Meal Plan 1",1,"Room_Type 1",83,2017,8,"Online",0,0,1,"Not_Canceled",85.5
2,0,0,1,"Not Selected",0,"Room_Type 1",9,2018,5,"Online",0,0,0,"Not_Canceled",99
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",16,2017,11,"Offline",0,0,0,"Not_Canceled",55
2,2,1,0,"Meal Plan 1",0,"Room_Type 7",73,2018,8,"Online",0,0,2,"Not_Canceled",205.38
2,0,2,3,"Meal Plan 1",0,"Room_Type 4",101,2018,1,"Offline",0,0,0,"Not_Canceled",62
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",18,2018,3,"Online",0,0,0,"Canceled",113.67
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",265,2018,6,"Offline",0,0,1,"Canceled",115
2,2,0,1,"Meal Plan 1",0,"Room_Type 6",20,2018,7,"Online",0,0,3,"Not_Canceled",231
2,0,2,0,"Meal Plan 1",0,"Room_Type 4",48,2018,5,"Online",0,0,0,"Canceled",159.3
2,2,2,1,"Not Selected",0,"Room_Type 6",0,2017,8,"Online",0,0,0,"Not_Canceled",153
2,2,0,2,"Meal Plan 2",0,"Room_Type 6",30,2018,9,"Online",0,0,1,"Not_Canceled",233.1
2,0,1,0,"Not Selected",0,"Room_Type 1",4,2018,5,"Online",0,0,0,"Not_Canceled",89
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",228,2018,6,"Online",0,0,1,"Not_Canceled",77.23
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",26,2017,11,"Offline",0,0,1,"Not_Canceled",65
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",94,2017,12,"Online",0,0,1,"Not_Canceled",72.25
2,0,2,1,"Meal Plan 2",0,"Room_Type 1",145,2017,8,"Offline",0,0,0,"Not_Canceled",94.5
3,0,0,5,"Meal Plan 1",0,"Room_Type 4",107,2018,6,"Online",0,0,2,"Not_Canceled",146.7
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",289,2017,10,"Offline",0,0,0,"Not_Canceled",67
3,0,3,8,"Meal Plan 1",0,"Room_Type 4",34,2018,3,"Online",0,0,1,"Canceled",118.96
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",78,2018,3,"Offline",0,0,0,"Canceled",100
1,0,1,1,"Meal Plan 1",0,"Room_Type 1",33,2018,1,"Complementary",0,0,0,"Not_Canceled",1
1,1,2,1,"Meal Plan 2",0,"Room_Type 2",117,2017,8,"Offline",0,0,1,"Not_Canceled",80.75
3,0,2,1,"Meal Plan 1",0,"Room_Type 1",13,2018,2,"Online",0,0,2,"Not_Canceled",130
2,0,0,2,"Not Selected",0,"Room_Type 1",49,2018,5,"Offline",0,0,0,"Not_Canceled",85
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",290,2018,6,"Offline",0,0,0,"Canceled",72
1,0,0,2,"Meal Plan 2",0,"Room_Type 1",39,2017,8,"Online",0,0,0,"Not_Canceled",0
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",10,2018,9,"Online",0,0,1,"Not_Canceled",114.73
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",4,2018,11,"Online",0,0,1,"Canceled",111
2,0,1,4,"Meal Plan 1",0,"Room_Type 1",336,2018,9,"Offline",0,0,0,"Not_Canceled",39
1,0,0,3,"Meal Plan 1",0,"Room_Type 1",166,2018,11,"Offline",0,0,0,"Canceled",110
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,2018,2,"Offline",0,0,0,"Not_Canceled",75
2,0,0,1,"Meal Plan 1",1,"Room_Type 1",11,2017,11,"Online",0,0,1,"Not_Canceled",96
2,0,0,4,"Not Selected",0,"Room_Type 1",183,2018,10,"Online",0,0,2,"Canceled",80.1
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",6,2018,8,"Online",0,0,2,"Not_Canceled",163.33
2,0,1,2,"Meal Plan 1",1,"Room_Type 1",2,2018,1,"Online",0,0,1,"Not_Canceled",87.3
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",1,2018,10,"Online",0,0,0,"Not_Canceled",140
1,0,2,1,"Meal Plan 1",0,"Room_Type 1",1,2018,2,"Offline",0,0,0,"Canceled",60
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",10,2018,11,"Online",0,0,2,"Not_Canceled",98.33
3,1,0,3,"Meal Plan 1",0,"Room_Type 7",13,2018,8,"Online",0,0,2,"Not_Canceled",231.15
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",87,2017,9,"Online",0,0,0,"Canceled",89.25
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",259,2018,10,"Online",0,0,0,"Canceled",80.24
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",22,2017,11,"Corporate",0,0,1,"Not_Canceled",62
2,0,2,5,"Meal Plan 1",0,"Room_Type 4",134,2018,10,"Online",0,0,1,"Not_Canceled",116.36
2,2,2,2,"Meal Plan 2",0,"Room_Type 6",151,2018,8,"Online",0,0,2,"Canceled",226.35
2,2,2,2,"Meal Plan 2",1,"Room_Type 1",141,2018,7,"Online",0,0,1,"Not_Canceled",195.25
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",74,2018,11,"Online",0,0,1,"Not_Canceled",124.6
2,0,1,0,"Not Selected",0,"Room_Type 1",27,2018,6,"Online",0,0,2,"Not_Canceled",99
2,0,0,1,"Not Selected",0,"Room_Type 1",158,2018,7,"Online",0,0,0,"Canceled",75.6
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",234,2018,9,"Online",0,0,1,"Canceled",106.2
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",16,2018,11,"Online",0,0,0,"Not_Canceled",84
2,0,0,3,"Meal Plan 1",0,"Room_Type 4",47,2018,3,"Online",0,0,0,"Canceled",91.8
1,0,0,1,"Not Selected",0,"Room_Type 1",0,2018,6,"Online",0,0,1,"Not_Canceled",129
1,0,0,1,"Not Selected",0,"Room_Type 1",20,2018,6,"Offline",0,0,0,"Not_Canceled",85
2,0,0,4,"Meal Plan 1",0,"Room_Type 1",37,2017,11,"Online",0,0,1,"Not_Canceled",90.95
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",304,2018,11,"Offline",0,0,0,"Canceled",89
1,0,0,2,"Meal Plan 1",1,"Room_Type 1",9,2018,11,"Corporate",0,0,0,"Not_Canceled",65
2,0,2,3,"Meal Plan 1",0,"Room_Type 4",86,2018,10,"Online",0,0,1,"Canceled",121.14
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",192,2018,10,"Offline",0,0,0,"Not_Canceled",68.23
2,0,2,5,"Not Selected",0,"Room_Type 1",40,2018,2,"Online",0,0,0,"Canceled",77.23
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",211,2018,5,"Offline",0,0,0,"Canceled",100
1,0,2,1,"Meal Plan 1",0,"Room_Type 1",116,2018,2,"Offline",0,0,0,"Not_Canceled",76
2,2,2,5,"Meal Plan 1",0,"Room_Type 7",41,2018,10,"Online",0,0,1,"Not_Canceled",249.63
3,0,2,4,"Meal Plan 1",0,"Room_Type 6",19,2018,9,"Online",0,0,1,"Canceled",150.02
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2017,9,"Corporate",0,0,0,"Not_Canceled",114
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",74,2017,9,"Offline",0,0,0,"Not_Canceled",101.5
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",65,2018,10,"Online",0,0,1,"Not_Canceled",75.54
2,0,2,1,"Not Selected",0,"Room_Type 1",95,2018,10,"Online",0,0,2,"Not_Canceled",108
3,0,2,3,"Meal Plan 1",0,"Room_Type 4",19,2018,4,"Online",0,0,0,"Canceled",158.2
2,0,1,3,"Not Selected",0,"Room_Type 1",123,2018,9,"Online",0,0,1,"Canceled",118.8
3,0,2,5,"Meal Plan 1",0,"Room_Type 1",124,2018,7,"Offline",0,0,0,"Not_Canceled",96.9
2,1,1,3,"Not Selected",0,"Room_Type 1",30,2018,7,"Offline",0,0,1,"Not_Canceled",88.56
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",164,2017,10,"Offline",0,0,0,"Not_Canceled",100
2,0,0,5,"Meal Plan 1",0,"Room_Type 1",140,2017,12,"Offline",0,0,0,"Not_Canceled",70
1,0,0,3,"Meal Plan 1",0,"Room_Type 1",19,2017,10,"Offline",1,1,0,"Not_Canceled",80
2,0,0,1,"Not Selected",0,"Room_Type 1",0,2018,4,"Online",0,0,1,"Not_Canceled",89
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,2017,10,"Offline",0,0,0,"Not_Canceled",109
2,0,1,5,"Not Selected",0,"Room_Type 1",94,2018,7,"Online",0,0,0,"Canceled",94.5
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",42,2017,9,"Online",0,0,3,"Not_Canceled",111.6
1,0,2,2,"Meal Plan 1",0,"Room_Type 1",24,2018,4,"Online",0,0,1,"Not_Canceled",133.5
1,0,1,1,"Meal Plan 1",0,"Room_Type 1",32,2018,7,"Offline",0,0,0,"Not_Canceled",85
2,0,0,2,"Meal Plan 1",0,"Room_Type 4",86,2018,4,"Online",0,0,0,"Canceled",127.8
3,0,2,2,"Meal Plan 1",0,"Room_Type 1",26,2017,12,"Offline",0,0,1,"Not_Canceled",60.75
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",221,2018,10,"Online",0,0,2,"Not_Canceled",90.95
2,1,0,2,"Meal Plan 1",0,"Room_Type 4",11,2017,12,"Complementary",0,0,2,"Not_Canceled",0
1,0,0,3,"Meal Plan 1",0,"Room_Type 4",16,2018,3,"Corporate",0,0,0,"Not_Canceled",75
2,0,2,2,"Meal Plan 1",0,"Room_Type 4",68,2018,9,"Online",0,0,2,"Not_Canceled",149.4
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",182,2018,10,"Online",0,0,2,"Not_Canceled",70.44
1,0,0,3,"Meal Plan 1",0,"Room_Type 1",70,2017,11,"Offline",0,0,0,"Not_Canceled",46.33
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",1,2018,1,"Online",0,0,1,"Not_Canceled",101
1,0,0,2,"Not Selected",0,"Room_Type 1",19,2018,9,"Online",0,0,1,"Not_Canceled",149
2,0,2,2,"Not Selected",0,"Room_Type 1",11,2018,8,"Online",0,0,0,"Not_Canceled",139
2,0,0,4,"Meal Plan 1",0,"Room_Type 4",7,2018,12,"Online",0,0,0,"Not_Canceled",99.88
1,0,0,4,"Meal Plan 1",0,"Room_Type 1",14,2018,5,"Online",0,0,0,"Not_Canceled",0
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",5,2018,8,"Offline",0,0,0,"Not_Canceled",72.25
2,0,2,2,"Meal Plan 1",0,"Room_Type 4",24,2018,5,"Online",0,0,1,"Not_Canceled",117.3
1,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,2017,10,"Offline",0,0,0,"Canceled",80
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,2018,6,"Offline",0,0,0,"Not_Canceled",95
1,0,1,1,"Meal Plan 1",0,"Room_Type 1",0,2018,10,"Corporate",0,0,0,"Not_Canceled",95
2,0,1,0,"Not Selected",0,"Room_Type 1",50,2018,10,"Online",0,0,1,"Not_Canceled",108
1,0,0,2,"Meal Plan 2",0,"Room_Type 1",292,2018,7,"Offline",0,0,0,"Not_Canceled",90
2,0,1,3,"Not Selected",0,"Room_Type 1",63,2018,7,"Online",0,0,1,"Not_Canceled",94.5
3,0,2,3,"Meal Plan 1",0,"Room_Type 4",29,2018,5,"Online",0,0,2,"Not_Canceled",155.64
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",237,2017,9,"Online",0,0,0,"Canceled",80.75
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",183,2018,9,"Offline",0,0,1,"Canceled",110
